country,year,GDP,Population,Life_Expectancy,Inflation,Unemployment,School_Enrollment,GDP_per_capita
Pakistan,1988,38472742808.3167,108724739,59.36,8.83793701817773,,,353.85454278549
Pakistan,1989,40171106279.0078,112336629,59.528,7.84426473740044,,,357.595796105007
Pakistan,1990,40010423970.4576,116155576,59.728,9.05213155279776,,,344.45547384189
Pakistan,1991,45625336680.2047,120060406,59.864,11.7912703351416,0.596,,380.019843346229
Pakistan,1992,48884671947.4657,123546848,59.983,9.5090414619015,0.587,,395.67720859593
Pakistan,1993,51809999353.1614,127020117,60.083,9.97366476029209,0.596,,407.888140688466
Pakistan,1994,52293470813.1336,130748083,60.197,12.3681943936948,0.601,,399.955927561352
Pakistan,1995,60636071684.1918,134582253,60.273,12.3435785170513,0.611,,450.550279346206
Pakistan,1996,63320170084.4076,138557092,60.466,10.3738085885002,0.6,,456.996961832943
Pakistan,1997,62433340468.0228,142531804,60.623,11.3754928865122,0.611,,438.030942680153
Pakistan,1998,62191955814.3478,146522356,61.134,6.22800415424543,0.62,,424.453697798497
Pakistan,1999,62973857068.5113,150565377,61.54,4.14263718082171,0.625,,418.249257055367
Pakistan,2000,99484802344.5277,154879127,61.903,4.36666451291681,0.614,,642.338346499898
Pakistan,2001,97145618479.9038,159270907,62.241,3.14826144590618,0.611,,609.939506905073
Pakistan,2002,97923302809.3537,163222549,62.556,3.29034472613153,0.615,55.29802,599.937345723927
Pakistan,2003,112371913740.823,167110248,62.834,2.91413470059479,0.612,56.7235,672.44178669894
Pakistan,2004,132216048339.413,171286000,63.097,7.44462469342739,0.598,61.68897,771.902247348954
Pakistan,2005,145208562960.767,175453212,62.416,9.06332737030417,0.583,63.39651,827.619861189926
Pakistan,2006,161871385506.36,179682690,63.624,7.92108440058789,0.582,60.78372,900.873564984808
Pakistan,2007,184140869997.46,184493231,63.807,7.59868441050774,0.398,64.82106,998.090114197524
Pakistan,2008,202203748583.854,189499113,64.002,20.2861210929554,0.423,64.9296,1067.04324565284
Pakistan,2009,187337783856.466,194376534,64.206,13.6477650639761,0.535,65.44091,963.788066395225
Pakistan,2010,196709621849.586,199239047,64.378,12.9388705634889,0.653,65.98301,987.304571124485
Pakistan,2011,230586581059.665,203746065,64.659,11.9160927116277,0.796,63.07016,1131.73513834324
Pakistan,2012,250106966104.704,207667125,64.883,9.68235186055684,3.667,62.69421,1204.36475491585
Pakistan,2013,258657231672.412,211073978,65.129,7.69215611899565,2.954,62.13369,1225.4340119198
Pakistan,2014,271390474857.632,214264647,65.374,7.18938402847028,1.827,65.75982,1266.61340849959
Pakistan,2015,299963590534.773,217290883,65.641,2.52932817254229,3.566,60.95668,1380.47020838317
Pakistan,2016,313630000130.435,220138869,65.943,3.7651191635658,2.285,65.41796,1424.69161195897
Pakistan,2017,339205534861.1,223273967,66.223,4.08537368032608,3.204,64.89623,1519.23459514248
Pakistan,2018,356128166704.921,226928892,66.481,5.07805725868917,4.083,67.5748,1569.33814626355
Pakistan,2019,320909472770.669,230800899,66.729,10.5780305672025,4.83,,1390.41690981745
Pakistan,2020,300425609817.981,235001746,65.701,9.74011619320125,5.994,,1278.39735206896
Pakistan,2021,348516647445.148,239477801,65.773,9.49641577285205,6.338,,1455.31922370186
Pakistan,2022,374890295666.694,243700667,67.417,19.8738599646655,5.291,,1538.3228133171
Pakistan,2023,336686348609.266,247504495,67.649,30.7681280657005,5.237,,1360.32417758419
Pakistan,2024,371747087751.306,251269164,67.799,12.6325318530452,5.492,,1479.47755241191
Pakistan,2025,407307214476.222,255219554,,3.54555214890893,5.42,,1595.90912252837
Philippines,1980,36848080898.8112,48043740,61.884,18.2005104938508,,,766.969451146209
Philippines,1981,40499388869.1271,49311727,61.942,13.0825985241676,,93.15358,821.293256858092
Philippines,1982,42206011275.1757,50695707,62.175,10.2217271376892,,93.16523,832.536200258054
Philippines,1983,37759179894.5298,52194620,62.349,10.0293565620481,,91.57376,723.430497138016
Philippines,1984,35730185633.5233,53726181,62.426,50.3389756374498,,90.89301,665.042349344043
Philippines,1985,34961486348.2382,55213006,62.735,23.1031071803888,,94.43847,633.211065310196
Philippines,1986,33987207294.9432,56645077,62.875,1.14813777653338,,93.83803,600.002843935462
Philippines,1987,37791488666.0743,58157496,63.299,4.06976744186024,,94.10697,649.812857590607
Philippines,1988,43152128958.6116,59739052,63.711,13.8600691673319,,96.14788,722.343718454247
Philippines,1989,48513773720.673,61265260,64.105,12.2429906542055,,97.64527,791.864324425833
Philippines,1990,50508286641.5746,62854666,64.382,12.1773522064946,,,803.572588255813
Philippines,1991,51784144942.727,64382249,64.622,19.2614585266282,3.727,,804.323330530547
Philippines,1992,60422328242.1803,65926125,65.353,8.65100357865265,3.849,95.62759,916.515694532029
Philippines,1993,62036529147.1831,67530621,65.661,6.71631104109973,3.869,94.67716,918.642953796961
Philippines,1994,73159336915.2718,69019291,66.0,10.3864734299517,3.767,93.04913,1059.9838951587
Philippines,1995,84644328727.4825,70546246,66.311,6.83199610989534,3.68,,1199.84171414993
Philippines,1996,94648084429.0341,72190242,66.691,7.4761037778791,3.607,95.75706,1311.09249403865
Philippines,1997,94106317565.0846,73908810,66.994,5.59025939650601,3.592,,1273.27604875636
Philippines,1998,74492416329.9142,75791024,67.212,9.23493432267121,3.697,91.8589,982.865943728564
Philippines,1999,85640171045.1254,77753257,67.503,5.93904901780808,3.751,88.98721,1101.43515975318
Philippines,2000,83669788376.9213,79625397,67.789,3.9771250324928,3.77,,1050.79273107952
Philippines,2001,78921234457.5487,81401488,67.829,5.34550195567142,3.698,89.53385,969.530611744453
Philippines,2002,84307345887.543,83068889,67.886,2.72277227722765,3.616,89.63244,1014.90879320106
Philippines,2003,87039092974.2272,84731835,68.049,2.28915662650607,3.527,89.90912,1027.2301192843
Philippines,2004,95001999685.3314,86394504,68.301,4.82921083627795,3.554,89.35752,1099.63013023758
Philippines,2005,107419977318.166,88015962,68.423,6.51685393258433,3.795,88.55488,1220.46018559867
Philippines,2006,127652926368.069,89508986,68.172,5.4852320675105,4.052,86.79077,1426.14649179546
Philippines,2007,155980408673.403,91075184,68.549,2.90000000000003,3.434,87.09612,1712.65543282793
Philippines,2008,181624626327.361,92699095,68.643,8.26044703595725,3.72,88.12346,1959.29233534978
Philippines,2009,175974755881.372,94384250,68.631,4.21903052064628,3.858,89.88861,1864.45043406471
Philippines,2010,208368893151.144,96337125,68.883,3.78983634797591,3.605,,2162.91375885614
Philippines,2011,234216730291.32,98248614,69.096,4.7184170471842,3.592,,2383.91892522087
Philippines,2012,261920540962.63,100175512,69.237,3.02696391124796,3.504,,2614.61644401308
Philippines,2013,283902828588.718,102076336,69.283,2.58268766141795,3.497,,2781.27957677397
Philippines,2014,297483555338.044,103767130,69.311,3.59782343864211,3.6,95.36339,2866.83803761407
Philippines,2015,306445871242.322,105312992,69.45,0.674192536845408,3.068,95.0759,2909.85818010301
Philippines,2016,318627003016.731,106735719,69.49,1.25369880080982,2.695,94.36604,2985.19564024046
Philippines,2017,328480736802.76,108119693,69.966,2.85318772590947,2.552,93.7756,3038.12124959289
Philippines,2018,346841896587.313,109465287,69.761,5.30934661627707,2.338,,3168.51036609727
Philippines,2019,376823402239.136,110804683,69.68,2.39206534422404,2.237,,3400.78949767074
Philippines,2020,361751145451.597,112081264,70.097,2.3931623931624,2.522,,3227.57910235199
Philippines,2021,394087359848.11,113100950,66.675,3.92718022100332,3.398,,3484.38593882819
Philippines,2022,404353369604.631,113964338,69.472,5.82115811213955,2.598,,3548.06930572116
Philippines,2023,437055627245.138,114891199,69.833,5.97802515541409,2.2,,3804.08274131718
Philippines,2024,461671157904.74,115843670,69.946,3.21260487006347,2.202,,3985.29464669706
Philippines,2025,487086123720.417,116786962,,1.6587364525509,2.235,,4170.72347271451
Saudi Arabia,1980,164539660725.118,6047997,62.444,4.1692665536329,,,27205.6452285141
Saudi Arabia,1981,184291360138.69,6420551,63.252,2.79898218829488,,,28703.35585508
Saudi Arabia,1982,153240313858.323,6824486,64.008,1.02103960396035,,,22454.4843169614
Saudi Arabia,1983,129171635311.143,7252941,64.719,0.191424196019064,,,17809.5527471054
Saudi Arabia,1984,119624858115.778,7697307,65.391,-1.55903706534203,,,15541.1312184609
Saudi Arabia,1985,103897846493.65,8151779,66.027,-3.05876872913662,,,12745.41992535
Saudi Arabia,1986,86961922765.3254,8628639,66.648,-3.203331464723,,,10078.2896080512
Saudi Arabia,1987,85695861148.1976,9130194,67.242,-1.54711673699019,,,9385.98469519899
Saudi Arabia,1988,88256074766.3551,9629165,67.814,0.907563025210523,,,9165.49615323397
Saudi Arabia,1989,95344459279.0387,10128394,68.359,1.03264490339739,,,9413.58119352769
Saudi Arabia,1990,117630173564.753,10640691,68.874,2.07715133531156,,,11054.7495049666
Saudi Arabia,1991,132223230974.633,11160744,69.341,4.86111111111137,7.316,,11847.1699534218
Saudi Arabia,1992,137087850467.29,11686676,69.799,-0.0770060064690921,7.2,,11730.2687665244
Saudi Arabia,1993,132967957276.368,12215862,70.208,1.05579531442695,7.002,,10884.8607880777
